url,hash_value,img_path,html,fuzzy_hash_value
https://leilaocopart.net/login/,0000fffffbfb0000,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_1.png,,1536:6onn7aFE9wiEeCYQpQ474+lKNFZiH4Q9WUd0HNt:LmE3C6Q9WUd0HNt
https://sqiu.pro/,0000fffffbfb0000,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_2.png,,3072:AMtKDDB7C141khqRcAgBTC6ckGecF4TSdh+DhrVG6gsi/zflhfNP6O+HxlNB1bM:Y3Z5ptGJDSdqo69i7lhp6llNBpM
https://asx-exs-trade.com/index/not_wallet,ffe7e7e7e7e7e7e7,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_3.png,,48:0pAtmNslKVljti7KbVp3qVVpm3rcZbENu:ONHa7KbTWTScRku
https://www.poppinsonmackinac.com,00dfff0001c3c3c7,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_4.png,,768:rS1LbDehKb7THFoKXPnADfq3ZCFF1J51mbD5ltZ:rMLbDr/TAjq3ZmF1J52D5Z
https://docs.google.com/presentation/d/e/2PACX-1vTAb1yJtpBMkqkdA1HeJJdRHzH3siYGGkvQXWYUu-qr78VSDrxvSfrANhYkocm6jLXu90OSMAcnEbT7/pub?start=true&loop=true&delayms=1000&slide=id.p,7e7e7e7e7e7e7e7e,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_5.png,,1536:NuTJXmTwzp9XvVMSC9XzEEuRukuAoJYBROP0aE:whp9quJuAo8Rg0t
https://www.compro-online.com/,00dfdfffc7c3c7c7,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_6.png,,192:xhBMcfbSJWStlXzE6ZJiFj+VV4W000QFveixRis7xKPRU8jPK1q4yrFHk4ii0tr7:31SoOiQ000QFveifiY/dimY+
http://intersal.es/,ffffffffffff0018,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_7.png,,192:JCKaun6yPZhAnWc1JLOEw+oJ0+DsCosbZwUnGBdWiabl6B9/3GBTs4j4o0+0vd:Jdq4Vll2S0+0vd
https://amfgroup.ca/,00fff9fbfb9b9b9b,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_8.png,,384:8C/OAE0wzk3ZdqZUaAekW/OOO7p6OdOET+ds:i0VZdapNaM5ET++
https://www.im-creator.com/free/revoiced/voicrvcord8004638392/#tlenz...,0fffffffffffffff,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_9.png,,3:ZdpBiDdSnGyNc6F/rIjYQcF14EF9MU8ARNfYCUO:jpBiDdVyB/rIjYTLFuUNNgdO
https://www.agoda.com/en-gb/?ds=ZRfIINrIa%2FkfkpDm,03003c3cffe7fedb,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_10.png,,1536:W7PqvZNPthcI6go7d49UEi3NtH4wSUCiF5e4M7AJ5yzQ9UqwPKozN3gNLLy8ZtMD:ugEyOGTH8ZtM3pYvGzC3d2LIYPV
https://axieinfinlty.pages.dev/,00666e74799b9b83,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_11.png,,1536:67/g/YEf0s5OgUKgLTzh2F7LiqWQMCY/1G0UjJqOQBEjkCAfL8zzLuZQvWSiW9:yk0s5l6V2FLjyCYylDFYEzqe/9
https://magic.ly/ATTRCV,c3c3c3c3c3c3e7ff,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_12.png,,192:IeD8F11X1CTVbSHxSXov+hWIFnp4k7xsWISms4j7csWIvhP4W7nsWIUIa4V7CsWv:IeD8FLX4SHx7c5CHxJqDFhAvIpqPAR+j
https://ecopacking.com.ua/,ffff00644c60e0c0,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_13.png,,768:hqgZMyJTkkjr4r3LRqrbL2y4eyuvPLex1L7:cWkXTM/348Te/
https://www.edisonlearning.com,ffc800000004ffff,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_14.png,,3072:DOJDnD7mhkG64miJcfdhx6pIT+CkQNYAbKVTkKVT7+jbGHT3+OypucBM+1RbmCkY:RJc9+Aw+2+o+CX+1lr+K+ig+t+2JB
https://online-stylesheet.pages.dev/text.css,7e3e3e3e7f7f7f7f,C:\Users\R\Downloads\phishing\screenshot_phish\screenshot_15.png,,12:U0F29pn4D0dTWBcRfEjdTmz+Fr+/EFVIBQJdsLV8WFv95RxYcYlqrcryTKKQ5Uvv:MREc+jRrjFVHQ/VPpHTOC
